sn	max_dist	bin_width	kappa	DCBC
4	40	1.5	3.0	0.19013741060361114
5	40	1.5	3.0	0.23281954489481668
6	40	1.5	3.0	0.28359302432880684
7	40	1.5	3.0	0.20976871476657646
8	40	1.5	3.0	0.09078696611816509
9	40	1.5	3.0	0.24174451805336925
10	40	1.5	3.0	0.328205721977194
11	40	1.5	3.0	0.10086717872873718
12	40	1.5	3.0	0.20071042094409552
13	40	1.5	3.0	0.25285695165898486
14	40	1.5	3.0	0.15661940259021978
15	40	1.5	3.0	0.2600919377770444
16	40	1.5	3.0	0.18289197283512898
17	40	1.5	3.0	0.20363428415619395
18	40	1.5	3.0	0.1706608153319873
19	40	1.5	3.0	0.2293483727452837
20	40	1.5	3.0	0.18329036988831962
21	40	1.5	3.0	0.15723543566143455
22	40	1.5	3.0	0.1808863648026436
23	40	1.5	3.0	0.1981266960900443
0	40	1.5	5.0	0.15715687130172748
1	40	1.5	5.0	0.17961939364462576
2	40	1.5	5.0	0.08388211418814952
3	40	1.5	5.0	0.3797073600981942
4	40	1.5	5.0	0.1897506464070515
5	40	1.5	5.0	0.2318391754755966
6	40	1.5	5.0	0.2818692985981528
7	40	1.5	5.0	0.20861543037235392
8	40	1.5	5.0	0.0877092979695597
9	40	1.5	5.0	0.23938995996163312
10	40	1.5	5.0	0.3288361774020396
11	40	1.5	5.0	0.10116691890259112
12	40	1.5	5.0	0.20061878857129684
13	40	1.5	5.0	0.2501150279134121
14	40	1.5	5.0	0.15572779190928004
15	40	1.5	5.0	0.2599182114072406
16	40	1.5	5.0	0.18068215479053482
17	40	1.5	5.0	0.2015717314522655
18	40	1.5	5.0	0.1663627495189788
19	40	1.5	5.0	0.22938022559352067
20	40	1.5	5.0	0.1797700375117514
21	40	1.5	5.0	0.15719346298118497
22	40	1.5	5.0	0.18102044183600152
23	40	1.5	5.0	0.19599265792060777
0	40	1.5	8.0	0.1556463635580189
1	40	1.5	8.0	0.17883882196876427
2	40	1.5	8.0	0.08206281804712887
3	40	1.5	8.0	0.37926952053162055
4	40	1.5	8.0	0.1897331642141071
5	40	1.5	8.0	0.23014037295240072
6	40	1.5	8.0	0.2803612326107064
7	40	1.5	8.0	0.20729391849895787
8	40	1.5	8.0	0.08577213457081559
9	40	1.5	8.0	0.2377066277932724
10	40	1.5	8.0	0.32872473995327484
11	40	1.5	8.0	0.10206829390755492
12	40	1.5	8.0	0.19970527022861911
13	40	1.5	8.0	0.24811950041227535
14	40	1.5	8.0	0.15328957426274836
15	40	1.5	8.0	0.25786861398245026
16	40	1.5	8.0	0.17976282193903678
17	40	1.5	8.0	0.20012923877815125
18	40	1.5	8.0	0.16212108785756082
19	40	1.5	8.0	0.2284064646608837
20	40	1.5	8.0	0.1779428008528059
21	40	1.5	8.0	0.1565886216347889
22	40	1.5	8.0	0.180949774771058
23	40	1.5	8.0	0.19447702398973618
0	40	1.5	200.0	0.15196798787171303
1	40	1.5	200.0	0.17709617720802778
2	40	1.5	200.0	0.07889905265505366
3	40	1.5	200.0	0.3767075892821133
4	40	1.5	200.0	0.186882573018732
5	40	1.5	200.0	0.22834504690475324
6	40	1.5	200.0	0.2803449778270421
7	40	1.5	200.0	0.20763921112218317
8	40	1.5	200.0	0.07743279981426791
9	40	1.5	200.0	0.23165908806438412
10	40	1.5	200.0	0.32786434469368075
11	40	1.5	200.0	0.09980443914002889
12	40	1.5	200.0	0.19898351312473717
13	40	1.5	200.0	0.24301116258816016
14	40	1.5	200.0	0.1466715794033566
15	40	1.5	200.0	0.25191239359702644
16	40	1.5	200.0	0.17300985669573585
17	40	1.5	200.0	0.19884194976671754
18	40	1.5	200.0	0.15501820584368123
19	40	1.5	200.0	0.22374174794658197
20	40	1.5	200.0	0.17204709607940438
21	40	1.5	200.0	0.15673441278447114
22	40	1.5	200.0	0.17927556564833047
23	40	1.5	200.0	0.19136478013769598
