atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	dcbc_indiv	inhomo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	100610		0.16321935	0.9519429	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101006		0.14279151	0.9346224	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101107		0.043064717	0.9418246	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101309		0.051704127	0.96194255	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	101915		0.15340237	0.9471357	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102008		0.12732342	0.94938993	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102109		0.054110706	0.9678351	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102311		0.13574933	0.9586762	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102513		0.02447257	0.96893585	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102614		0.29511806	0.9055092	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102715		0.07453404	0.96144533	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	102816		0.120507345	0.9567196	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103111		0.019641863	0.97905445	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103212		0.10496339	0.96678436	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103414		0.19777381	0.92257804	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	103818		0.13748375	0.9479283	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	104820		0.09499812	0.9481605	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105216		0.11737193	0.9636125	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	105923		0.15950783	0.9454663	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	106319		0.12356131	0.9624659	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108121		0.22117507	0.9204807	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	108222		0.16060627	0.94109696	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	113316		0.18446974	0.9439504	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	123723		0.1261797	0.9469582	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127226		0.09365846	0.96253395	GAMBLING	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-2	HCP	contrasts	Models_03	MSHBM17	127933		0.21587843	0.9149909	GAMBLING	1	6fwhm	sm0	Tseries	20	100
