atlas	K	train_data	train_sess	test_data	test_sess	model_type	group_map_name	subj_num	indiv_test_kappa	homo_indiv	task_name	test_run	train_smooth	test_smooth	test_type	strength	spatial_w
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101107		0.10943714	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101309		0.054600995	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	101915		0.048060015	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102008		0.07375777	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102109		0.097672425	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102311		0.08807829	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102513		0.026269969	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102614		0.036047902	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102715		0.047140323	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	102816		0.05868868	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103111		0.030804856	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103212		0.051429328	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103414		0.060271174	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	103818		0.1003248	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	104820		0.09383909	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	105216		0.080802456	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	105923		0.12737823	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	106319		0.16646014	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	108121		0.08483326	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	108222		0.065858625	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	113316		0.06885557	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	123723		0.038469233	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	127226		0.056540802	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	127933		0.1116649	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128026		0.07350435	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128127		0.05275268	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128632		0.13398567	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	128935		0.03909525	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	129331		0.09419728	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	130316		0.05559187	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	130922		0.04049246	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	131217		0.051491667	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	132017		0.09251665	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134021		0.07019209	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134324		0.06322414	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	134425		0.057820678	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135629		0.10532251	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135730		0.056624845	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	135932		0.075172774	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136126		0.037337545	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136227		0.045782406	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	136631		0.06326266	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	138332		0.09791166	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	140824		0.06335025	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	143325		0.10877365	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	144428		0.10739492	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	145834		0.07966833	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	146836		0.052108925	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	147636		0.08120852	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	148133		0.05921176	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	149337		0.051455613	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	149539		0.037306104	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	150625		0.07435219	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	151728		0.048459277	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153025		0.07027453	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153429		0.07622844	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153833		0.031853415	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153934		0.061635226	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154229		0.092178866	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154431		0.053281568	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154936		0.06388775	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	155635		0.04768527	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	156031		0.067877494	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	156435		0.13081074	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	158540		0.084215045	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	158843		0.04531686	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	159441		0.04239092	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	160830		0.06143131	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	164939		0.057724763	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	167238		0.058994938	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	168139		0.0628492	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	168240		0.040312044	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	168745		0.04010374	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	169040		0.062355395	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	169545		0.040978085	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	171330		0.06523098	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	172332		0.040873755	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	172433		0.06208289	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	173435		0.08585458	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	173637		0.07543918	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	176542		0.07704859	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	178142		0.06994462	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	179346		0.06949373	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	180432		0.07030934	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	185442		0.050189126	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	188145		0.025146343	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	191336		0.06678933	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	191942		0.04334114	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	192035		0.020288516	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	192843		0.02726132	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	193845		0.05373375	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	194140		0.055776432	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	195849		0.035313003	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	198350		0.08318662	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	199655		0.027672151	all	1	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	144428		0.10555128	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	145834		0.047093153	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	146836		0.05782065	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	147636		0.07884455	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	148133		0.072431	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	149337		0.053647675	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	149539		0.03636018	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	150625		0.07193316	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	151728		0.04558234	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153025		0.08404196	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153429		0.07427506	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153833		0.0653326	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	153934		0.08169624	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154229		0.07266452	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154431		0.060630813	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	154936		0.056122895	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	155635		0.04484656	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	156031		0.10016458	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	156435		0.1131699	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	158540		0.07013865	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	158843		0.057679344	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	159441		0.045300037	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	160830		0.06358989	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	164939		0.07041707	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	167238		0.06147139	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	168139		0.053708714	all	2	6fwhm	sm0	Tseries	20	100
fs32k	17	['HCP']	run-1	HCP	contrasts	Models_03	MSHBM17	168240		0.03863884	all	2	6fwhm	sm0	Tseries	20	100
