sn	train	num_runs	max_dist	bin_width	kappa	DCBC
2	ses-s1	16	40	1.5	5.0	0.08121738415500815
3	ses-s1	16	40	1.5	5.0	0.38089251013255526
4	ses-s1	16	40	1.5	5.0	0.18726834526445452
5	ses-s1	16	40	1.5	5.0	0.23316041400108972
6	ses-s1	16	40	1.5	5.0	0.2822046313626916
7	ses-s1	16	40	1.5	5.0	0.21065527792003952
8	ses-s1	16	40	1.5	5.0	0.08779914625893495
9	ses-s1	16	40	1.5	5.0	0.23935146008530156
10	ses-s1	16	40	1.5	5.0	0.3262201642993944
11	ses-s1	16	40	1.5	5.0	0.10194365517198893
12	ses-s1	16	40	1.5	5.0	0.19779803590149111
13	ses-s1	16	40	1.5	5.0	0.24673798098682118
14	ses-s1	16	40	1.5	5.0	0.15385549779097052
15	ses-s1	16	40	1.5	5.0	0.2559485260557619
16	ses-s1	16	40	1.5	5.0	0.18056398784872887
17	ses-s1	16	40	1.5	5.0	0.20284432322579568
18	ses-s1	16	40	1.5	5.0	0.16524952449113894
19	ses-s1	16	40	1.5	5.0	0.22906908984014057
20	ses-s1	16	40	1.5	5.0	0.18129278837152366
21	ses-s1	16	40	1.5	5.0	0.15770469601361814
22	ses-s1	16	40	1.5	5.0	0.17797898475302532
23	ses-s1	16	40	1.5	5.0	0.1922978106493469
0	ses-s1	16	40	1.5	6.0	0.15563100348893033
1	ses-s1	16	40	1.5	6.0	0.1809771457680632
2	ses-s1	16	40	1.5	6.0	0.08155085130704362
3	ses-s1	16	40	1.5	6.0	0.3805498146070825
4	ses-s1	16	40	1.5	6.0	0.18646789842867534
5	ses-s1	16	40	1.5	6.0	0.23162676063383872
6	ses-s1	16	40	1.5	6.0	0.2818200219758114
7	ses-s1	16	40	1.5	6.0	0.21067490748919457
8	ses-s1	16	40	1.5	6.0	0.08578768028604482
9	ses-s1	16	40	1.5	6.0	0.23754520932158366
10	ses-s1	16	40	1.5	6.0	0.3265940867568399
11	ses-s1	16	40	1.5	6.0	0.10209687523028836
12	ses-s1	16	40	1.5	6.0	0.19832771040774058
13	ses-s1	16	40	1.5	6.0	0.2457951329167811
14	ses-s1	16	40	1.5	6.0	0.15247116039249056
15	ses-s1	16	40	1.5	6.0	0.2560580771612426
16	ses-s1	16	40	1.5	6.0	0.17975839922521336
17	ses-s1	16	40	1.5	6.0	0.20156693226948963
18	ses-s1	16	40	1.5	6.0	0.16393091047590308
19	ses-s1	16	40	1.5	6.0	0.22854702658858586
20	ses-s1	16	40	1.5	6.0	0.18019181989883365
21	ses-s1	16	40	1.5	6.0	0.15763655368969948
22	ses-s1	16	40	1.5	6.0	0.1780279764892924
23	ses-s1	16	40	1.5	6.0	0.1927389970626221
0	ses-s1	16	40	1.5	8.0	0.1538701336880599
1	ses-s1	16	40	1.5	8.0	0.18013402992016606
2	ses-s1	16	40	1.5	8.0	0.08038923419073288
3	ses-s1	16	40	1.5	8.0	0.3790233415320661
4	ses-s1	16	40	1.5	8.0	0.18582989914661358
5	ses-s1	16	40	1.5	8.0	0.2302256215868068
6	ses-s1	16	40	1.5	8.0	0.28180109188921837
7	ses-s1	16	40	1.5	8.0	0.2104088413449444
8	ses-s1	16	40	1.5	8.0	0.08422234243827914
9	ses-s1	16	40	1.5	8.0	0.23546656017500908
10	ses-s1	16	40	1.5	8.0	0.3266190064879396
11	ses-s1	16	40	1.5	8.0	0.10302190140244218
12	ses-s1	16	40	1.5	8.0	0.1976002561882561
13	ses-s1	16	40	1.5	8.0	0.24389255997704842
14	ses-s1	16	40	1.5	8.0	0.15163067989411477
15	ses-s1	16	40	1.5	8.0	0.25524518375579286
16	ses-s1	16	40	1.5	8.0	0.17944928280062503
17	ses-s1	16	40	1.5	8.0	0.20130661226995916
18	ses-s1	16	40	1.5	8.0	0.1611102696201559
19	ses-s1	16	40	1.5	8.0	0.2269352486557021
20	ses-s1	16	40	1.5	8.0	0.18024117680650253
21	ses-s1	16	40	1.5	8.0	0.15709118622447005
22	ses-s1	16	40	1.5	8.0	0.17783771522560024
23	ses-s1	16	40	1.5	8.0	0.1921368946143085
0	ses-s1	16	40	1.5	10.0	0.1529433018050694
1	ses-s1	16	40	1.5	10.0	0.1799358738896389
2	ses-s1	16	40	1.5	10.0	0.07962501165592949
3	ses-s1	16	40	1.5	10.0	0.3789012597476391
4	ses-s1	16	40	1.5	10.0	0.1856220985800071
5	ses-s1	16	40	1.5	10.0	0.23057219701472295
6	ses-s1	16	40	1.5	10.0	0.28220692770833655
7	ses-s1	16	40	1.5	10.0	0.20953674820340337
8	ses-s1	16	40	1.5	10.0	0.08389337437719928
9	ses-s1	16	40	1.5	10.0	0.23402800269947688
10	ses-s1	16	40	1.5	10.0	0.32568177069013554
11	ses-s1	16	40	1.5	10.0	0.10312393107896567
12	ses-s1	16	40	1.5	10.0	0.19763567364094012
13	ses-s1	16	40	1.5	10.0	0.2430085451019397
14	ses-s1	16	40	1.5	10.0	0.15065298729196666
15	ses-s1	16	40	1.5	10.0	0.25414976566028014
16	ses-s1	16	40	1.5	10.0	0.17823578555332312
17	ses-s1	16	40	1.5	10.0	0.20066998119332666
18	ses-s1	16	40	1.5	10.0	0.1590214505194219
19	ses-s1	16	40	1.5	10.0	0.2260704056630722
20	ses-s1	16	40	1.5	10.0	0.17883883547778023
21	ses-s1	16	40	1.5	10.0	0.15751921639122737
22	ses-s1	16	40	1.5	10.0	0.1776843753671899
23	ses-s1	16	40	1.5	10.0	0.1921351763623033
0	ses-s1	16	40	1.5	15.0	0.15271979080376943
1	ses-s1	16	40	1.5	15.0	0.17933385127100634
2	ses-s1	16	40	1.5	15.0	0.07903991700766327
3	ses-s1	16	40	1.5	15.0	0.3790410803301775
4	ses-s1	16	40	1.5	15.0	0.18526117697680616
5	ses-s1	16	40	1.5	15.0	0.23009924149356492
6	ses-s1	16	40	1.5	15.0	0.2814207799691433
7	ses-s1	16	40	1.5	15.0	0.2083506763313579
8	ses-s1	16	40	1.5	15.0	0.08220180858139434
9	ses-s1	16	40	1.5	15.0	0.23278988695541436
10	ses-s1	16	40	1.5	15.0	0.32637155575906013
11	ses-s1	16	40	1.5	15.0	0.10345342660057165
12	ses-s1	16	40	1.5	15.0	0.1967561547669786
13	ses-s1	16	40	1.5	15.0	0.24116062370551475
14	ses-s1	16	40	1.5	15.0	0.1491486125539751
15	ses-s1	16	40	1.5	15.0	0.2534948082330726
16	ses-s1	16	40	1.5	15.0	0.1776089751305699
17	ses-s1	16	40	1.5	15.0	0.2006985851377693
18	ses-s1	16	40	1.5	15.0	0.1581986237657829
19	ses-s1	16	40	1.5	15.0	0.22451651020671648
20	ses-s1	16	40	1.5	15.0	0.17639692788650058
21	ses-s1	16	40	1.5	15.0	0.15715226596369605
22	ses-s1	16	40	1.5	15.0	0.17723024868874238
23	ses-s1	16	40	1.5	15.0	0.19029589243336728
0	ses-s1	16	40	1.5	20.0	0.15286442584553334
1	ses-s1	16	40	1.5	20.0	0.17891509840814865
2	ses-s1	16	40	1.5	20.0	0.07922196660960436
3	ses-s1	16	40	1.5	20.0	0.3789202579600585
4	ses-s1	16	40	1.5	20.0	0.18494720476681437
5	ses-s1	16	40	1.5	20.0	0.23033357842125693
6	ses-s1	16	40	1.5	20.0	0.2808481503318531
7	ses-s1	16	40	1.5	20.0	0.20830211257915457
8	ses-s1	16	40	1.5	20.0	0.081124984629547
9	ses-s1	16	40	1.5	20.0	0.23149615182415803
10	ses-s1	16	40	1.5	20.0	0.3260489585694271
11	ses-s1	16	40	1.5	20.0	0.10263001291581503
12	ses-s1	16	40	1.5	20.0	0.19711345772398958
13	ses-s1	16	40	1.5	20.0	0.24100443110738268
14	ses-s1	16	40	1.5	20.0	0.14827454302077944
15	ses-s1	16	40	1.5	20.0	0.25178498352820505
16	ses-s1	16	40	1.5	20.0	0.17741410399471824
17	ses-s1	16	40	1.5	20.0	0.2003933205847192
18	ses-s1	16	40	1.5	20.0	0.15677779674809028
19	ses-s1	16	40	1.5	20.0	0.2243008840883499
20	ses-s1	16	40	1.5	20.0	0.17498424179301783
21	ses-s1	16	40	1.5	20.0	0.15758495991494897
22	ses-s1	16	40	1.5	20.0	0.17662503814085337
23	ses-s1	16	40	1.5	20.0	0.1896320902082833
0	ses-s1	16	40	1.5	200.0	0.15082304024346643
1	ses-s1	16	40	1.5	200.0	0.17661679612256265
2	ses-s1	16	40	1.5	200.0	0.07680997788899656
3	ses-s1	16	40	1.5	200.0	0.37639982763261154
4	ses-s1	16	40	1.5	200.0	0.18405380455032616
5	ses-s1	16	40	1.5	200.0	0.22890140051127056
6	ses-s1	16	40	1.5	200.0	0.2793905612325333
7	ses-s1	16	40	1.5	200.0	0.20741573819381542
8	ses-s1	16	40	1.5	200.0	0.07696388008855201
9	ses-s1	16	40	1.5	200.0	0.22767298388797524
10	ses-s1	16	40	1.5	200.0	0.3264062161568257
11	ses-s1	16	40	1.5	200.0	0.10244601281429887
12	ses-s1	16	40	1.5	200.0	0.1966136735490035
13	ses-s1	16	40	1.5	200.0	0.23913132508708002
14	ses-s1	16	40	1.5	200.0	0.14560367515346312
15	ses-s1	16	40	1.5	200.0	0.25090775142042643
16	ses-s1	16	40	1.5	200.0	0.17348625757672173
17	ses-s1	16	40	1.5	200.0	0.20020461968211925
18	ses-s1	16	40	1.5	200.0	0.15357788477808199
19	ses-s1	16	40	1.5	200.0	0.22309666138693768
20	ses-s1	16	40	1.5	200.0	0.17005244829887925
21	ses-s1	16	40	1.5	200.0	0.1585554195402447
22	ses-s1	16	40	1.5	200.0	0.1761677386861505
23	ses-s1	16	40	1.5	200.0	0.18760633482432218
