subject	parcel	z_value	domain	contrast_name	dtype
2	VIS-P	-0.16993688	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	VIS-P	0.06747303	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	VIS-P	0.22069728	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	VIS-P	0.24255511	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	VIS-P	0.622143	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	VIS-P	0.1261965	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	VIS-P	-0.01662518	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	VIS-P	0.7475716	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	VIS-P	0.030124206	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	VIS-P	-0.39277285	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	VIS-P	0.52084506	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	CG-OP	-0.7397196	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	CG-OP	-0.62695813	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	CG-OP	-1.5373932	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	CG-OP	-1.5025458	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	CG-OP	-1.2958515	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	CG-OP	-0.88240445	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	CG-OP	-0.8327685	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	CG-OP	-1.818346	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	CG-OP	-1.7390988	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	CG-OP	-0.57648087	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	CG-OP	-0.6941754	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	DN-B	1.82177	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	DN-B	1.419427	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	DN-B	1.5915102	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	DN-B	2.6660776	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	DN-B	2.206177	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	DN-B	1.1177697	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	DN-B	1.618154	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	DN-B	2.6496205	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	DN-B	2.7703602	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	DN-B	1.7153729	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	DN-B	1.7194186	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	SMOT-B	-0.02149103	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	SMOT-B	-0.15173	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	SMOT-B	-0.84204614	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	SMOT-B	0.32754117	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	SMOT-B	-0.35529503	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	SMOT-B	-0.21130669	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	SMOT-B	0.2015993	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	SMOT-B	-0.9268691	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	SMOT-B	1.0539211	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
