subject	parcel	z_value	domain	contrast_name	dtype
8	VIS-C	0.7748271	Visual	ECC1mECC2+3	rest
9	VIS-C	0.6906648	Visual	ECC1mECC2+3	rest
12	VIS-C	1.916501	Visual	ECC1mECC2+3	rest
13	VIS-C	0.45853186	Visual	ECC1mECC2+3	rest
14	VIS-C	1.1376594	Visual	ECC1mECC2+3	rest
15	VIS-C	0.30384615	Visual	ECC1mECC2+3	rest
2	SAL/PMN	0.76461935	Visual	ECC1mECC2+3	rest
3	SAL/PMN	0.58879024	Visual	ECC1mECC2+3	rest
4	SAL/PMN	0.3455619	Visual	ECC1mECC2+3	rest
6	SAL/PMN	1.1654994	Visual	ECC1mECC2+3	rest
7	SAL/PMN	0.48778975	Visual	ECC1mECC2+3	rest
8	SAL/PMN	1.0570168	Visual	ECC1mECC2+3	rest
9	SAL/PMN	1.0857011	Visual	ECC1mECC2+3	rest
12	SAL/PMN	1.435651	Visual	ECC1mECC2+3	rest
13	SAL/PMN	1.6774875	Visual	ECC1mECC2+3	rest
14	SAL/PMN	1.7047737	Visual	ECC1mECC2+3	rest
15	SAL/PMN	1.6289552	Visual	ECC1mECC2+3	rest
2	DN-A	0.7596442	Visual	ECC1mECC2+3	rest
3	DN-A	-0.1983532	Visual	ECC1mECC2+3	rest
4	DN-A	-0.13454792	Visual	ECC1mECC2+3	rest
6	DN-A	0.16674776	Visual	ECC1mECC2+3	rest
7	DN-A	-0.110814154	Visual	ECC1mECC2+3	rest
8	DN-A	0.60226923	Visual	ECC1mECC2+3	rest
9	DN-A	0.2735783	Visual	ECC1mECC2+3	rest
12	DN-A	-0.34916756	Visual	ECC1mECC2+3	rest
13	DN-A	2.4628851	Visual	ECC1mECC2+3	rest
14	DN-A	0.084229	Visual	ECC1mECC2+3	rest
15	DN-A	0.61739415	Visual	ECC1mECC2+3	rest
2	VIS-P	-2.7396662	Visual	ECC1mECC2+3	fusion
3	VIS-P	-5.0738225	Visual	ECC1mECC2+3	fusion
4	VIS-P	-4.1761928	Visual	ECC1mECC2+3	fusion
6	VIS-P	-4.785096	Visual	ECC1mECC2+3	fusion
7	VIS-P	-4.0372906	Visual	ECC1mECC2+3	fusion
8	VIS-P	-2.9909685	Visual	ECC1mECC2+3	fusion
9	VIS-P	-2.93176	Visual	ECC1mECC2+3	fusion
12	VIS-P	-5.769275	Visual	ECC1mECC2+3	fusion
13	VIS-P	-7.7220116	Visual	ECC1mECC2+3	fusion
14	VIS-P	-5.9480524	Visual	ECC1mECC2+3	fusion
15	VIS-P	-4.6780806	Visual	ECC1mECC2+3	fusion
2	CG-OP	0.9861844	Visual	ECC1mECC2+3	fusion
3	CG-OP	0.7625022	Visual	ECC1mECC2+3	fusion
4	CG-OP	0.6285114	Visual	ECC1mECC2+3	fusion
6	CG-OP	0.47009927	Visual	ECC1mECC2+3	fusion
7	CG-OP	1.625066	Visual	ECC1mECC2+3	fusion
8	CG-OP	0.12188396	Visual	ECC1mECC2+3	fusion
9	CG-OP	-0.50851184	Visual	ECC1mECC2+3	fusion
12	CG-OP	0.68367845	Visual	ECC1mECC2+3	fusion
13	CG-OP	-1.0283235	Visual	ECC1mECC2+3	fusion
14	CG-OP	0.22219868	Visual	ECC1mECC2+3	fusion
15	CG-OP	-0.1676825	Visual	ECC1mECC2+3	fusion
2	DN-B	1.3303474	Visual	ECC1mECC2+3	fusion
3	DN-B	0.17251019	Visual	ECC1mECC2+3	fusion
4	DN-B	0.7077998	Visual	ECC1mECC2+3	fusion
6	DN-B	1.0900677	Visual	ECC1mECC2+3	fusion
7	DN-B	0.82481146	Visual	ECC1mECC2+3	fusion
8	DN-B	-0.10671572	Visual	ECC1mECC2+3	fusion
9	DN-B	1.0021446	Visual	ECC1mECC2+3	fusion
12	DN-B	0.57961696	Visual	ECC1mECC2+3	fusion
13	DN-B	3.2233536	Visual	ECC1mECC2+3	fusion
14	DN-B	0.67697024	Visual	ECC1mECC2+3	fusion
15	DN-B	0.19175537	Visual	ECC1mECC2+3	fusion
2	SMOT-B	1.131193	Visual	ECC1mECC2+3	fusion
3	SMOT-B	0.088049315	Visual	ECC1mECC2+3	fusion
4	SMOT-B	0.75471455	Visual	ECC1mECC2+3	fusion
6	SMOT-B	1.3060654	Visual	ECC1mECC2+3	fusion
7	SMOT-B	1.8475626	Visual	ECC1mECC2+3	fusion
8	SMOT-B	-0.08570867	Visual	ECC1mECC2+3	fusion
9	SMOT-B	-1.8546042	Visual	ECC1mECC2+3	fusion
12	SMOT-B	-0.025269134	Visual	ECC1mECC2+3	fusion
13	SMOT-B	0.22103572	Visual	ECC1mECC2+3	fusion
14	SMOT-B	0.7025711	Visual	ECC1mECC2+3	fusion
15	SMOT-B	0.058105808	Visual	ECC1mECC2+3	fusion
2	AUD	0.4522158	Visual	ECC1mECC2+3	fusion
3	AUD	-0.13236453	Visual	ECC1mECC2+3	fusion
4	AUD	0.06417151	Visual	ECC1mECC2+3	fusion
6	AUD	0.8808898	Visual	ECC1mECC2+3	fusion
7	AUD	0.51662844	Visual	ECC1mECC2+3	fusion
8	AUD	-0.068921916	Visual	ECC1mECC2+3	fusion
9	AUD	-0.6144872	Visual	ECC1mECC2+3	fusion
12	AUD	0.2710282	Visual	ECC1mECC2+3	fusion
13	AUD	0.86617094	Visual	ECC1mECC2+3	fusion
14	AUD	0.52741545	Visual	ECC1mECC2+3	fusion
15	AUD	-0.041201197	Visual	ECC1mECC2+3	fusion
2	PM-PPr	-0.37881443	Visual	ECC1mECC2+3	fusion
3	PM-PPr	0.8486987	Visual	ECC1mECC2+3	fusion
4	PM-PPr	0.96639705	Visual	ECC1mECC2+3	fusion
6	PM-PPr	-0.5172194	Visual	ECC1mECC2+3	fusion
7	PM-PPr	1.9580003	Visual	ECC1mECC2+3	fusion
8	PM-PPr	-0.41461074	Visual	ECC1mECC2+3	fusion
9	PM-PPr	-1.0188329	Visual	ECC1mECC2+3	fusion
12	PM-PPr	0.028036512	Visual	ECC1mECC2+3	fusion
13	PM-PPr	0.47958085	Visual	ECC1mECC2+3	fusion
14	PM-PPr	1.0690278	Visual	ECC1mECC2+3	fusion
15	PM-PPr	-0.06598756	Visual	ECC1mECC2+3	fusion
2	dATN-B	-6.2965217	Visual	ECC1mECC2+3	fusion
3	dATN-B	-2.5578322	Visual	ECC1mECC2+3	fusion
4	dATN-B	-6.0163198	Visual	ECC1mECC2+3	fusion
6	dATN-B	-6.6494784	Visual	ECC1mECC2+3	fusion
7	dATN-B	-7.151932	Visual	ECC1mECC2+3	fusion
8	dATN-B	-3.1785495	Visual	ECC1mECC2+3	fusion
9	dATN-B	-2.549071	Visual	ECC1mECC2+3	fusion
12	dATN-B	-3.3643184	Visual	ECC1mECC2+3	fusion
13	dATN-B	-5.6867394	Visual	ECC1mECC2+3	fusion
14	dATN-B	-2.995862	Visual	ECC1mECC2+3	fusion
15	dATN-B	-7.6629686	Visual	ECC1mECC2+3	fusion
2	SMOT-A	1.1735412	Visual	ECC1mECC2+3	fusion
3	SMOT-A	0.6500588	Visual	ECC1mECC2+3	fusion
4	SMOT-A	0.031467922	Visual	ECC1mECC2+3	fusion
6	SMOT-A	1.0797077	Visual	ECC1mECC2+3	fusion
7	SMOT-A	1.3077796	Visual	ECC1mECC2+3	fusion
8	SMOT-A	-0.590648	Visual	ECC1mECC2+3	fusion
9	SMOT-A	-2.3602915	Visual	ECC1mECC2+3	fusion
12	SMOT-A	0.17208187	Visual	ECC1mECC2+3	fusion
13	SMOT-A	0.5739954	Visual	ECC1mECC2+3	fusion
14	SMOT-A	0.10769335	Visual	ECC1mECC2+3	fusion
15	SMOT-A	-0.04054572	Visual	ECC1mECC2+3	fusion
2	LANG	0.7134616	Visual	ECC1mECC2+3	fusion
3	LANG	0.64040804	Visual	ECC1mECC2+3	fusion
4	LANG	0.49128786	Visual	ECC1mECC2+3	fusion
6	LANG	0.7490448	Visual	ECC1mECC2+3	fusion
7	LANG	1.3712935	Visual	ECC1mECC2+3	fusion
8	LANG	0.060806867	Visual	ECC1mECC2+3	fusion
9	LANG	0.7501754	Visual	ECC1mECC2+3	fusion
12	LANG	0.59834933	Visual	ECC1mECC2+3	fusion
13	LANG	0.32661468	Visual	ECC1mECC2+3	fusion
14	LANG	0.7006764	Visual	ECC1mECC2+3	fusion
15	LANG	0.28759435	Visual	ECC1mECC2+3	fusion
2	FPN-B	1.238958	Visual	ECC1mECC2+3	fusion
3	FPN-B	0.6604677	Visual	ECC1mECC2+3	fusion
4	FPN-B	0.6281661	Visual	ECC1mECC2+3	fusion
6	FPN-B	2.2541087	Visual	ECC1mECC2+3	fusion
7	FPN-B	-0.34023413	Visual	ECC1mECC2+3	fusion
8	FPN-B	1.55009	Visual	ECC1mECC2+3	fusion
9	FPN-B	2.0577555	Visual	ECC1mECC2+3	fusion
12	FPN-B	0.05690036	Visual	ECC1mECC2+3	fusion
13	FPN-B	1.6183492	Visual	ECC1mECC2+3	fusion
14	FPN-B	1.3717533	Visual	ECC1mECC2+3	fusion
15	FPN-B	1.3975682	Visual	ECC1mECC2+3	fusion
2	FPN-A	1.6146756	Visual	ECC1mECC2+3	fusion
3	FPN-A	0.012811071	Visual	ECC1mECC2+3	fusion
4	FPN-A	0.47322106	Visual	ECC1mECC2+3	fusion
6	FPN-A	1.5352583	Visual	ECC1mECC2+3	fusion
7	FPN-A	-0.20745014	Visual	ECC1mECC2+3	fusion
8	FPN-A	2.664954	Visual	ECC1mECC2+3	fusion
9	FPN-A	0.49927396	Visual	ECC1mECC2+3	fusion
12	FPN-A	0.26503006	Visual	ECC1mECC2+3	fusion
13	FPN-A	0.2725416	Visual	ECC1mECC2+3	fusion
14	FPN-A	1.4129415	Visual	ECC1mECC2+3	fusion
15	FPN-A	1.8247736	Visual	ECC1mECC2+3	fusion
2	dATN-A	-0.29751655	Visual	ECC1mECC2+3	fusion
3	dATN-A	0.43568206	Visual	ECC1mECC2+3	fusion
4	dATN-A	0.56815565	Visual	ECC1mECC2+3	fusion
6	dATN-A	-0.52423763	Visual	ECC1mECC2+3	fusion
7	dATN-A	0.8208938	Visual	ECC1mECC2+3	fusion
8	dATN-A	1.9507024	Visual	ECC1mECC2+3	fusion
9	dATN-A	0.093757875	Visual	ECC1mECC2+3	fusion
12	dATN-A	0.4426564	Visual	ECC1mECC2+3	fusion
13	dATN-A	0.18346398	Visual	ECC1mECC2+3	fusion
14	dATN-A	1.1278065	Visual	ECC1mECC2+3	fusion
15	dATN-A	0.54552007	Visual	ECC1mECC2+3	fusion
2	VIS-C	2.6481583	Visual	ECC1mECC2+3	fusion
3	VIS-C	1.5789353	Visual	ECC1mECC2+3	fusion
4	VIS-C	1.23637	Visual	ECC1mECC2+3	fusion
6	VIS-C	1.5325116	Visual	ECC1mECC2+3	fusion
7	VIS-C	2.6374614	Visual	ECC1mECC2+3	fusion
8	VIS-C	1.7599856	Visual	ECC1mECC2+3	fusion
9	VIS-C	1.1173782	Visual	ECC1mECC2+3	fusion
12	VIS-C	3.9157217	Visual	ECC1mECC2+3	fusion
13	VIS-C	1.1040457	Visual	ECC1mECC2+3	fusion
14	VIS-C	2.3499534	Visual	ECC1mECC2+3	fusion
15	VIS-C	0.4153433	Visual	ECC1mECC2+3	fusion
2	SAL/PMN	0.7162573	Visual	ECC1mECC2+3	fusion
3	SAL/PMN	0.58336306	Visual	ECC1mECC2+3	fusion
4	SAL/PMN	0.41043937	Visual	ECC1mECC2+3	fusion
6	SAL/PMN	1.026684	Visual	ECC1mECC2+3	fusion
7	SAL/PMN	0.6800923	Visual	ECC1mECC2+3	fusion
8	SAL/PMN	0.7155673	Visual	ECC1mECC2+3	fusion
9	SAL/PMN	0.9584307	Visual	ECC1mECC2+3	fusion
12	SAL/PMN	1.3546282	Visual	ECC1mECC2+3	fusion
13	SAL/PMN	1.2770219	Visual	ECC1mECC2+3	fusion
14	SAL/PMN	1.498898	Visual	ECC1mECC2+3	fusion
15	SAL/PMN	1.6252829	Visual	ECC1mECC2+3	fusion
2	DN-A	0.61403126	Visual	ECC1mECC2+3	fusion
3	DN-A	-0.16641906	Visual	ECC1mECC2+3	fusion
4	DN-A	-0.13434143	Visual	ECC1mECC2+3	fusion
6	DN-A	0.06260974	Visual	ECC1mECC2+3	fusion
7	DN-A	-0.21564186	Visual	ECC1mECC2+3	fusion
8	DN-A	0.6203369	Visual	ECC1mECC2+3	fusion
9	DN-A	0.35362107	Visual	ECC1mECC2+3	fusion
12	DN-A	-0.5177639	Visual	ECC1mECC2+3	fusion
13	DN-A	2.1943908	Visual	ECC1mECC2+3	fusion
14	DN-A	0.028324917	Visual	ECC1mECC2+3	fusion
15	DN-A	0.51603603	Visual	ECC1mECC2+3	fusion
