subject	parcel	z_value	domain	contrast_name	dtype
9	VIS-C	-11.690441	Motor	TONGUEmALL	fusion
12	VIS-C	-0.29129457	Motor	TONGUEmALL	fusion
13	VIS-C	-4.117531	Motor	TONGUEmALL	fusion
14	VIS-C	-8.07046	Motor	TONGUEmALL	fusion
15	VIS-C	-8.340945	Motor	TONGUEmALL	fusion
2	SAL/PMN	4.041735	Motor	TONGUEmALL	fusion
3	SAL/PMN	3.2005224	Motor	TONGUEmALL	fusion
4	SAL/PMN	4.0476265	Motor	TONGUEmALL	fusion
6	SAL/PMN	1.8807498	Motor	TONGUEmALL	fusion
7	SAL/PMN	5.2769575	Motor	TONGUEmALL	fusion
8	SAL/PMN	7.6129837	Motor	TONGUEmALL	fusion
9	SAL/PMN	2.6512341	Motor	TONGUEmALL	fusion
12	SAL/PMN	2.7008224	Motor	TONGUEmALL	fusion
13	SAL/PMN	2.6605546	Motor	TONGUEmALL	fusion
14	SAL/PMN	1.7136992	Motor	TONGUEmALL	fusion
15	SAL/PMN	-0.20963395	Motor	TONGUEmALL	fusion
2	DN-A	-1.2530918	Motor	TONGUEmALL	fusion
3	DN-A	0.23275098	Motor	TONGUEmALL	fusion
4	DN-A	0.4660078	Motor	TONGUEmALL	fusion
6	DN-A	-1.2220783	Motor	TONGUEmALL	fusion
7	DN-A	-1.3139486	Motor	TONGUEmALL	fusion
8	DN-A	-2.04803	Motor	TONGUEmALL	fusion
9	DN-A	-2.670318	Motor	TONGUEmALL	fusion
12	DN-A	0.34193623	Motor	TONGUEmALL	fusion
13	DN-A	-0.3813019	Motor	TONGUEmALL	fusion
14	DN-A	-0.82177424	Motor	TONGUEmALL	fusion
15	DN-A	-2.352819	Motor	TONGUEmALL	fusion
