subject	parcel	z_value	domain	contrast_name	dtype
15	SAL/PMN	-0.22193131	Sentence_Processing	SENTmCTRL	rest
2	DN-A	1.5960426	Sentence_Processing	SENTmCTRL	rest
3	DN-A	1.657094	Sentence_Processing	SENTmCTRL	rest
4	DN-A	1.1246266	Sentence_Processing	SENTmCTRL	rest
6	DN-A	1.3485658	Sentence_Processing	SENTmCTRL	rest
7	DN-A	0.21927291	Sentence_Processing	SENTmCTRL	rest
8	DN-A	1.1261941	Sentence_Processing	SENTmCTRL	rest
9	DN-A	0.71307856	Sentence_Processing	SENTmCTRL	rest
12	DN-A	0.9708332	Sentence_Processing	SENTmCTRL	rest
13	DN-A	1.6272535	Sentence_Processing	SENTmCTRL	rest
14	DN-A	0.34896716	Sentence_Processing	SENTmCTRL	rest
15	DN-A	0.6329929	Sentence_Processing	SENTmCTRL	rest
2	VIS-P	1.1196554	Sentence_Processing	SENTmCTRL	fusion
3	VIS-P	0.35681018	Sentence_Processing	SENTmCTRL	fusion
4	VIS-P	1.1846975	Sentence_Processing	SENTmCTRL	fusion
6	VIS-P	1.6118786	Sentence_Processing	SENTmCTRL	fusion
7	VIS-P	0.6595937	Sentence_Processing	SENTmCTRL	fusion
8	VIS-P	0.10738191	Sentence_Processing	SENTmCTRL	fusion
9	VIS-P	1.7281218	Sentence_Processing	SENTmCTRL	fusion
12	VIS-P	0.77501076	Sentence_Processing	SENTmCTRL	fusion
13	VIS-P	1.1048706	Sentence_Processing	SENTmCTRL	fusion
14	VIS-P	0.12353665	Sentence_Processing	SENTmCTRL	fusion
15	VIS-P	1.2065105	Sentence_Processing	SENTmCTRL	fusion
2	CG-OP	-0.44548944	Sentence_Processing	SENTmCTRL	fusion
3	CG-OP	-0.48843837	Sentence_Processing	SENTmCTRL	fusion
4	CG-OP	-0.27373526	Sentence_Processing	SENTmCTRL	fusion
6	CG-OP	-0.26440042	Sentence_Processing	SENTmCTRL	fusion
7	CG-OP	-0.71729755	Sentence_Processing	SENTmCTRL	fusion
8	CG-OP	0.049259555	Sentence_Processing	SENTmCTRL	fusion
9	CG-OP	-0.4940376	Sentence_Processing	SENTmCTRL	fusion
12	CG-OP	-0.34174204	Sentence_Processing	SENTmCTRL	fusion
13	CG-OP	0.4785073	Sentence_Processing	SENTmCTRL	fusion
14	CG-OP	-0.6274571	Sentence_Processing	SENTmCTRL	fusion
15	CG-OP	0.76112133	Sentence_Processing	SENTmCTRL	fusion
2	DN-B	2.6787674	Sentence_Processing	SENTmCTRL	fusion
3	DN-B	1.6981643	Sentence_Processing	SENTmCTRL	fusion
4	DN-B	1.1417223	Sentence_Processing	SENTmCTRL	fusion
6	DN-B	1.8190646	Sentence_Processing	SENTmCTRL	fusion
7	DN-B	1.1396738	Sentence_Processing	SENTmCTRL	fusion
8	DN-B	2.6102834	Sentence_Processing	SENTmCTRL	fusion
9	DN-B	0.7234466	Sentence_Processing	SENTmCTRL	fusion
12	DN-B	1.2302951	Sentence_Processing	SENTmCTRL	fusion
13	DN-B	1.4648218	Sentence_Processing	SENTmCTRL	fusion
14	DN-B	0.15507834	Sentence_Processing	SENTmCTRL	fusion
15	DN-B	-0.57899475	Sentence_Processing	SENTmCTRL	fusion
2	SMOT-B	-0.56345934	Sentence_Processing	SENTmCTRL	fusion
3	SMOT-B	-0.21899493	Sentence_Processing	SENTmCTRL	fusion
4	SMOT-B	0.16500866	Sentence_Processing	SENTmCTRL	fusion
6	SMOT-B	0.5872703	Sentence_Processing	SENTmCTRL	fusion
7	SMOT-B	-0.41160917	Sentence_Processing	SENTmCTRL	fusion
8	SMOT-B	0.25640792	Sentence_Processing	SENTmCTRL	fusion
9	SMOT-B	1.9789746	Sentence_Processing	SENTmCTRL	fusion
12	SMOT-B	0.4550432	Sentence_Processing	SENTmCTRL	fusion
13	SMOT-B	0.7894334	Sentence_Processing	SENTmCTRL	fusion
14	SMOT-B	-0.1411864	Sentence_Processing	SENTmCTRL	fusion
15	SMOT-B	0.12466879	Sentence_Processing	SENTmCTRL	fusion
2	AUD	0.14740837	Sentence_Processing	SENTmCTRL	fusion
3	AUD	0.73608863	Sentence_Processing	SENTmCTRL	fusion
4	AUD	0.8869118	Sentence_Processing	SENTmCTRL	fusion
6	AUD	1.533199	Sentence_Processing	SENTmCTRL	fusion
7	AUD	0.05222953	Sentence_Processing	SENTmCTRL	fusion
8	AUD	0.22613212	Sentence_Processing	SENTmCTRL	fusion
9	AUD	1.2481455	Sentence_Processing	SENTmCTRL	fusion
12	AUD	0.97066534	Sentence_Processing	SENTmCTRL	fusion
13	AUD	-0.13260745	Sentence_Processing	SENTmCTRL	fusion
