atlas	K	networks	subj	dice	type	strength	spatial_w	first_run	second_run	w/b
fs32k	15	all	9	0.6554706692695618	rest	10	0	2	7	within
fs32k	15	all	10	0.5840649008750916	rest	10	0	2	7	within
fs32k	15	all	11	0.6543585658073425	rest	10	0	2	7	within
fs32k	15	all	1	0.6276615262031555	rest	10	0	2	8	within
fs32k	15	all	2	0.6393515467643738	rest	10	0	2	8	within
fs32k	15	all	3	0.6003071069717407	rest	10	0	2	8	within
fs32k	15	all	4	0.7038891315460205	rest	10	0	2	8	within
fs32k	15	all	5	0.6704694032669067	rest	10	0	2	8	within
fs32k	15	all	6	0.6349880695343018	rest	10	0	2	8	within
fs32k	15	all	7	0.6218960285186768	rest	10	0	2	8	within
fs32k	15	all	8	0.6234330534934998	rest	10	0	2	8	within
fs32k	15	all	9	0.6562213897705078	rest	10	0	2	8	within
fs32k	15	all	10	0.5921353697776794	rest	10	0	2	8	within
fs32k	15	all	11	0.6140897274017334	rest	10	0	2	8	within
fs32k	15	all	1	0.6334277987480164	rest	10	0	2	9	within
fs32k	15	all	2	0.6382805705070496	rest	10	0	2	9	within
fs32k	15	all	3	0.6379511952400208	rest	10	0	2	9	within
fs32k	15	all	4	0.6558743119239807	rest	10	0	2	9	within
fs32k	15	all	5	0.6619778871536255	rest	10	0	2	9	within
fs32k	15	all	6	0.6293332576751709	rest	10	0	2	9	within
fs32k	15	all	7	0.6297043561935425	rest	10	0	2	9	within
fs32k	15	all	8	0.6157509088516235	rest	10	0	2	9	within
fs32k	15	all	9	0.6773605942726135	rest	10	0	2	9	within
fs32k	15	all	10	0.5863951444625854	rest	10	0	2	9	within
fs32k	15	all	11	0.6277149319648743	rest	10	0	2	9	within
fs32k	15	all	1	0.6750425696372986	rest	10	0	2	10	within
fs32k	15	all	2	0.6588268280029297	rest	10	0	2	10	within
fs32k	15	all	3	0.640204668045044	rest	10	0	2	10	within
fs32k	15	all	4	0.6913513541221619	rest	10	0	2	10	within
fs32k	15	all	5	0.6496249437332153	rest	10	0	2	10	within
fs32k	15	all	6	0.6454855799674988	rest	10	0	2	10	within
fs32k	15	all	7	0.6168186664581299	rest	10	0	2	10	within
fs32k	15	all	8	0.6296775937080383	rest	10	0	2	10	within
fs32k	15	all	9	0.676386833190918	rest	10	0	2	10	within
fs32k	15	all	10	0.6182295083999634	rest	10	0	2	10	within
fs32k	15	all	11	0.6062138080596924	rest	10	0	2	10	within
fs32k	15	all	1	0.6157000660896301	rest	10	0	2	11	within
fs32k	15	all	2	0.6434885859489441	rest	10	0	2	11	within
fs32k	15	all	3	0.5978321433067322	rest	10	0	2	11	within
fs32k	15	all	4	0.6805832386016846	rest	10	0	2	11	within
fs32k	15	all	5	0.6599576473236084	rest	10	0	2	11	within
fs32k	15	all	6	0.6388410329818726	rest	10	0	2	11	within
fs32k	15	all	7	0.5768739581108093	rest	10	0	2	11	within
fs32k	15	all	8	0.6472781300544739	rest	10	0	2	11	within
fs32k	15	all	9	0.6113614439964294	rest	10	0	2	11	within
fs32k	15	all	10	0.6028433442115784	rest	10	0	2	11	within
fs32k	15	all	11	0.6094664335250854	rest	10	0	2	11	within
fs32k	15	all	1	0.5982898473739624	rest	10	0	2	12	within
fs32k	15	all	2	0.6484788656234741	rest	10	0	2	12	within
fs32k	15	all	3	0.6132290363311768	rest	10	0	2	12	within
fs32k	15	all	4	0.6698686480522156	rest	10	0	2	12	within
fs32k	15	all	5	0.6504574418067932	rest	10	0	2	12	within
fs32k	15	all	6	0.6573323011398315	rest	10	0	2	12	within
fs32k	15	all	7	0.6058440208435059	rest	10	0	2	12	within
fs32k	15	all	8	0.6488290429115295	rest	10	0	2	12	within
fs32k	15	all	9	0.663247287273407	rest	10	0	2	12	within
fs32k	15	all	10	0.6197054982185364	rest	10	0	2	12	within
fs32k	15	all	11	0.6138155460357666	rest	10	0	2	12	within
fs32k	15	all	1	0.6725466847419739	rest	10	0	2	13	within
fs32k	15	all	2	0.5823013782501221	rest	10	0	2	13	within
fs32k	15	all	3	0.6466652154922485	rest	10	0	2	13	within
fs32k	15	all	4	0.6370033621788025	rest	10	0	2	13	within
fs32k	15	all	5	0.6883413195610046	rest	10	0	2	13	within
fs32k	15	all	6	0.6220158338546753	rest	10	0	2	13	within
fs32k	15	all	7	0.6263032555580139	rest	10	0	2	13	within
fs32k	15	all	8	0.6389740109443665	rest	10	0	2	13	within
fs32k	15	all	9	0.6470863223075867	rest	10	0	2	13	within
fs32k	15	all	10	0.6054556965827942	rest	10	0	2	13	within
fs32k	15	all	11	0.6371302008628845	rest	10	0	2	13	within
fs32k	15	all	1	0.6440718770027161	rest	10	0	2	14	within
fs32k	15	all	2	0.6419171690940857	rest	10	0	2	14	within
fs32k	15	all	3	0.6559674143791199	rest	10	0	2	14	within
fs32k	15	all	4	0.6764025688171387	rest	10	0	2	14	within
fs32k	15	all	5	0.684598445892334	rest	10	0	2	14	within
